season,player_id,role,opportunities,k_total,k_rate
2024,519008,pitcher,0,1,1.0
2024,547184,pitcher,0,1,1.0
2024,665923,batter,1,0,0.0
2024,664913,batter,3,1,0.3333333333333333
2024,676116,batter,3,2,0.6666666666666666
2024,687231,batter,1,0,0.0
2024,622072,pitcher,1,3,3.0
2024,669127,batter,3,1,0.3333333333333333
2024,668709,batter,4,1,0.25
2024,605204,batter,3,1,0.3333333333333333
2024,680767,pitcher,0,2,2.0
2024,663898,batter,4,0,0.0
2024,669911,batter,1,0,0.0
2024,656222,pitcher,0,2,2.0
2024,641857,batter,2,0,0.0
2024,607732,batter,1,0,0.0
2024,592178,batter,2,0,0.0
2024,607536,pitcher,1,2,2.0
2024,453568,batter,2,0,0.0
2024,666134,batter,4,2,0.5
2024,595909,batter,1,0,0.0
2024,683232,pitcher,0,3,3.0
2024,686668,batter,3,1,0.3333333333333333
2024,553869,batter,3,1,0.3333333333333333
2024,678662,batter,4,1,0.25
2024,683627,pitcher,0,0,0.0
2024,660707,batter,3,1,0.3333333333333333
2024,543518,pitcher,0,1,1.0
2024,669459,pitcher,0,1,1.0
2024,607054,batter,0,0,0.0
2024,664983,batter,0,0,0.0
2024,666818,pitcher,0,0,0.0
2024,666818,batter,0,0,0.0
2024,606466,batter,5,0,0.0
2024,677942,batter,5,2,0.4
2024,672695,batter,4,0,0.0
2024,672515,batter,5,1,0.2
2024,553993,batter,4,1,0.25
2024,682998,batter,3,0,0.0
2024,668678,pitcher,1,3,3.0
2024,666971,batter,5,2,0.4
2024,572233,batter,4,2,0.5
2024,612434,pitcher,0,1,1.0
2024,677950,batter,5,1,0.2
2024,622569,batter,2,1,0.5
2024,570257,pitcher,0,2,2.0
2024,657136,batter,4,1,0.25
2024,596115,batter,4,1,0.25
2024,678394,pitcher,1,2,2.0
2024,641933,batter,3,0,0.0
2024,445276,pitcher,0,2,2.0
2024,646240,batter,5,1,0.2
2024,663462,pitcher,0,1,1.0
2024,680776,batter,5,1,0.2
2024,665839,batter,2,0,0.0
2024,678882,batter,4,1,0.25
2024,807799,batter,4,0,0.0
2024,455119,pitcher,0,2,2.0
2024,671213,batter,5,1,0.2
2024,649966,batter,1,1,1.0
2024,571745,batter,3,0,0.0
2024,641487,batter,4,1,0.25
2024,668942,batter,2,0,0.0
2024,686527,batter,2,1,0.5
2024,663728,batter,4,1,0.25
2024,608723,pitcher,0,1,1.0
2024,675989,pitcher,0,0,0.0
2024,622491,pitcher,1,5,5.0
2024,664238,batter,2,1,0.5
2024,641598,batter,4,0,0.0
2024,664034,batter,4,1,0.25
2024,642048,pitcher,0,1,1.0
2024,677594,batter,4,1,0.25
2024,593871,batter,3,1,0.3333333333333333
2024,670042,batter,1,1,1.0
2024,687401,batter,4,1,0.25
2024,694192,batter,3,0,0.0
2024,592885,batter,4,1,0.25
2024,641343,batter,2,0,0.0
2024,682842,pitcher,0,0,0.0
2024,606303,pitcher,0,2,2.0
2024,655316,batter,1,0,0.0
2024,642547,pitcher,1,8,8.0
2024,663368,batter,4,1,0.25
2024,661388,batter,3,2,0.6666666666666666
2024,668930,batter,2,1,0.5
2024,596142,batter,2,0,0.0
2024,642715,batter,4,0,0.0
2024,656555,batter,3,1,0.3333333333333333
2024,656730,pitcher,0,0,0.0
2024,543859,pitcher,0,2,2.0
2024,682626,batter,3,2,0.6666666666666666
2024,643446,batter,3,0,0.0
2024,683146,batter,3,2,0.6666666666666666
2024,500779,pitcher,1,4,4.0
2024,621466,batter,2,2,1.0
2024,624413,batter,3,0,0.0
2024,516782,batter,3,0,0.0
2024,596019,batter,3,1,0.3333333333333333
2024,664056,batter,3,1,0.3333333333333333
2024,607043,batter,4,2,0.5
2024,622098,pitcher,0,1,1.0
2024,605347,pitcher,0,0,0.0
2024,594807,batter,2,0,0.0
2024,675911,pitcher,1,8,8.0
2024,671739,batter,5,1,0.2
2024,572955,pitcher,0,2,2.0
2024,518595,batter,1,1,1.0
2024,621345,pitcher,0,2,2.0
2024,621566,batter,5,1,0.2
2024,669221,batter,3,1,0.3333333333333333
2024,660670,batter,4,1,0.25
2024,607481,pitcher,0,2,2.0
2024,645277,batter,4,0,0.0
2024,663586,batter,4,2,0.5
2024,641729,pitcher,0,1,1.0
2024,606115,batter,5,1,0.2
2024,672284,batter,2,0,0.0
2024,542303,batter,5,2,0.4
2024,628708,pitcher,0,1,1.0
2024,669016,batter,4,3,0.75
2024,621237,pitcher,0,1,1.0
2024,547180,batter,3,3,1.0
2024,592663,batter,3,2,0.6666666666666666
2024,554430,pitcher,1,5,5.0
2024,641401,pitcher,0,1,1.0
2024,592206,batter,4,3,0.75
2024,664761,batter,4,1,0.25
2024,681082,batter,4,1,0.25
2024,656546,pitcher,0,1,1.0
2024,656941,batter,4,1,0.25
2024,621381,pitcher,0,1,1.0
2024,679032,batter,2,0,0.0
2024,607208,batter,4,1,0.25
2024,666182,batter,4,1,0.25
2024,641149,pitcher,0,1,1.0
2024,596129,batter,1,0,0.0
2024,676391,batter,0,0,0.0
2024,605135,pitcher,1,6,6.0
2024,662139,batter,4,0,0.0
2024,595281,batter,4,2,0.5
2024,643396,batter,2,1,0.5
2024,543807,batter,4,1,0.25
2024,624415,batter,3,1,0.3333333333333333
2024,665489,batter,3,0,0.0
2024,672386,batter,3,0,0.0
2024,457759,batter,4,1,0.25
2024,642350,batter,4,1,0.25
2024,670623,batter,4,2,0.5
2024,623912,batter,4,0,0.0
2024,676609,batter,3,0,0.0
2024,666163,batter,3,0,0.0
2024,664040,batter,5,2,0.4
2024,680700,batter,2,0,0.0
2024,668227,batter,4,1,0.25
2024,592094,pitcher,0,1,1.0
2024,606965,pitcher,0,0,0.0
2024,650644,pitcher,1,6,6.0
2024,650490,batter,5,1,0.2
2024,668804,batter,4,1,0.25
2024,665833,batter,5,3,0.6
2024,642133,batter,0,0,0.0
2024,658668,batter,2,0,0.0
2024,656582,batter,5,1,0.2
2024,663647,batter,3,0,0.0
2024,669707,batter,3,0,0.0
2024,656924,pitcher,0,2,2.0
2024,676596,pitcher,0,3,3.0
2024,457705,batter,4,1,0.25
2024,680779,batter,4,2,0.5
2024,572191,batter,2,1,0.5
2024,669261,batter,2,0,0.0
2024,527048,pitcher,1,2,2.0
2024,669394,batter,4,1,0.25
2024,650559,batter,4,1,0.25
2024,663773,pitcher,0,4,4.0
2024,681146,batter,3,0,0.0
2024,605137,batter,3,0,0.0
2024,542194,batter,4,1,0.25
2024,572143,pitcher,0,2,2.0
2024,541645,batter,4,0,0.0
2024,666277,pitcher,0,2,2.0
2024,641313,batter,3,1,0.3333333333333333
2024,665862,batter,4,3,0.75
2024,640462,pitcher,1,1,1.0
2024,650333,batter,4,0,0.0
2024,624647,pitcher,0,0,0.0
2024,519203,batter,4,0,0.0
2024,595897,pitcher,0,1,1.0
2024,607074,pitcher,1,4,4.0
2024,663330,batter,1,1,1.0
2024,596133,pitcher,0,0,0.0
2024,665828,batter,5,1,0.2
2024,657077,batter,4,1,0.25
2024,657571,pitcher,0,1,1.0
2024,592450,batter,5,1,0.2
2024,690925,pitcher,0,0,0.0
2024,669224,batter,4,0,0.0
2024,650402,batter,3,2,0.6666666666666666
2024,683011,batter,4,1,0.25
2024,519317,batter,5,2,0.4
2024,665742,batter,4,0,0.0
2024,514888,batter,5,0,0.0
2024,665161,batter,4,1,0.25
2024,606160,pitcher,0,0,0.0
2024,663656,batter,5,1,0.2
2024,664299,pitcher,1,6,6.0
2024,605463,pitcher,0,0,0.0
2024,656232,pitcher,0,2,2.0
2024,608324,batter,2,0,0.0
2024,676694,batter,3,0,0.0
2024,547989,batter,4,1,0.25
2024,676801,batter,3,2,0.6666666666666666
2024,673237,batter,3,0,0.0
2024,670541,batter,4,1,0.25
2024,656786,pitcher,0,1,1.0
2024,663898,batter,4,3,0.75
2024,641857,batter,4,0,0.0
2024,592178,batter,4,3,0.75
2024,615698,pitcher,1,1,1.0
2024,453568,batter,4,0,0.0
2024,666134,batter,4,1,0.25
2024,641755,pitcher,0,1,1.0
2024,686668,batter,3,2,0.6666666666666666
2024,656234,pitcher,0,0,0.0
2024,553869,batter,4,0,0.0
2024,678662,batter,3,1,0.3333333333333333
2024,660707,batter,3,1,0.3333333333333333
2024,518876,pitcher,1,8,8.0
2024,573009,pitcher,0,2,2.0
2024,592626,batter,4,0,0.0
2024,656464,pitcher,0,0,0.0
2024,606466,batter,4,0,0.0
2024,672695,batter,4,0,0.0
2024,672515,batter,3,0,0.0
2024,553993,batter,4,0,0.0
2024,682998,batter,4,0,0.0
2024,666971,batter,4,1,0.25
2024,572233,batter,5,0,0.0
2024,657044,pitcher,0,1,1.0
2024,677950,batter,4,1,0.25
2024,647304,batter,5,0,0.0
2024,669212,pitcher,0,0,0.0
2024,605130,pitcher,0,1,1.0
2024,686823,batter,4,0,0.0
2024,661403,pitcher,0,0,0.0
2024,665926,batter,3,0,0.0
2024,677587,batter,3,3,1.0
2024,671289,batter,3,1,0.3333333333333333
2024,666310,batter,3,2,0.6666666666666666
2024,671106,pitcher,1,3,3.0
2024,608070,batter,5,0,0.0
2024,664314,batter,3,2,0.6666666666666666
2024,680757,batter,5,1,0.2
2024,683769,pitcher,0,1,1.0
2024,671732,batter,4,0,0.0
2024,669397,batter,4,0,0.0
2024,680869,batter,3,2,0.6666666666666666
2024,687765,pitcher,0,3,3.0
2024,613534,pitcher,0,0,0.0
2024,665923,batter,2,0,0.0
2024,664913,batter,0,0,0.0
2024,676116,batter,2,1,0.5
2024,687231,batter,2,0,0.0
2024,647351,batter,4,0,0.0
2024,669127,batter,3,0,0.0
2024,548389,pitcher,1,6,6.0
2024,668709,batter,4,1,0.25
2024,605204,batter,4,1,0.25
2024,622569,batter,2,1,0.5
2024,596115,batter,4,1,0.25
2024,641933,batter,4,1,0.25
2024,666915,batter,3,2,0.6666666666666666
2024,670174,pitcher,0,4,4.0
2024,601713,pitcher,1,10,10.0
2024,624512,batter,2,1,0.5
2024,680776,batter,3,2,0.6666666666666666
2024,665839,batter,2,0,0.0
2024,678882,batter,4,2,0.5
2024,807799,batter,3,1,0.3333333333333333
2024,671213,batter,4,2,0.5
2024,649966,batter,3,2,0.6666666666666666
2024,571745,batter,3,2,0.6666666666666666
2024,641487,batter,3,0,0.0
2024,686527,batter,3,2,0.6666666666666666
2024,663728,batter,3,1,0.3333333333333333
2024,592773,pitcher,0,1,1.0
2024,669923,pitcher,1,8,8.0
2024,662253,pitcher,0,3,3.0
2024,664034,batter,3,2,0.6666666666666666
2024,642100,pitcher,0,1,1.0
2024,677594,batter,3,1,0.3333333333333333
2024,593871,batter,4,3,0.75
2024,670042,batter,3,1,0.3333333333333333
2024,624424,batter,5,2,0.4
2024,624585,batter,4,0,0.0
2024,642731,batter,4,1,0.25
2024,605113,batter,3,1,0.3333333333333333
2024,676254,pitcher,0,0,0.0
2024,690986,pitcher,1,5,5.0
2024,672275,batter,3,0,0.0
2024,656305,batter,5,0,0.0
2024,527038,batter,4,0,0.0
2024,808982,batter,5,0,0.0
2024,643511,pitcher,0,0,0.0
2024,664774,batter,5,3,0.6
2024,596103,batter,0,0,0.0
2024,694738,pitcher,0,0,0.0
2024,640492,batter,2,1,0.5
2024,669134,batter,4,0,0.0
2024,666703,batter,2,0,0.0
2024,595777,batter,4,0,0.0
2024,701538,batter,1,0,0.0
2024,605397,pitcher,1,3,3.0
2024,660853,pitcher,0,1,1.0
2024,658648,pitcher,0,2,2.0
2024,592518,batter,4,1,0.25
2024,642180,batter,1,0,0.0
2024,663568,pitcher,0,1,1.0
2024,665487,batter,4,1,0.25
2024,593428,batter,4,1,0.25
2024,630105,batter,3,1,0.3333333333333333
2024,673490,batter,4,0,0.0
2024,669357,batter,4,2,0.5
2024,691023,batter,4,2,0.5
2024,687363,batter,4,3,0.75
2024,575929,batter,4,3,0.75
2024,571448,batter,3,0,0.0
2024,668868,pitcher,1,4,4.0
2024,668941,pitcher,0,1,1.0
2024,572761,batter,1,0,0.0
2024,606149,pitcher,0,4,4.0
2024,676475,batter,4,1,0.25
2024,502671,batter,2,1,0.5
2024,680977,batter,3,2,0.6666666666666666
2024,691026,batter,3,0,0.0
2024,669257,batter,3,0,0.0
2024,621035,batter,3,3,1.0
2024,676272,pitcher,1,11,11.0
2024,571771,batter,3,0,0.0
2024,571970,batter,4,1,0.25
2024,518692,batter,4,1,0.25
2024,675627,pitcher,0,1,1.0
2024,660271,batter,4,1,0.25
2024,606192,batter,3,1,0.3333333333333333
2024,623465,pitcher,0,1,1.0
2024,605141,batter,3,2,0.6666666666666666
2024,518489,pitcher,0,1,1.0
2024,500743,batter,3,0,0.0
2024,571948,pitcher,0,0,0.0
2024,687401,batter,1,0,0.0
2024,694192,batter,5,2,0.4
2024,686554,batter,4,1,0.25
2024,592885,batter,5,0,0.0
2024,641343,batter,5,4,0.8
2024,686217,batter,5,1,0.2
2024,682842,pitcher,0,2,2.0
2024,665625,pitcher,0,0,0.0
2024,661388,batter,5,1,0.2
2024,668930,batter,5,2,0.4
2024,642715,batter,5,1,0.2
2024,669084,pitcher,1,1,1.0
2024,669060,pitcher,0,0,0.0
2024,656555,batter,4,0,0.0
2024,656730,pitcher,0,3,3.0
2024,518617,pitcher,0,1,1.0
2024,622663,pitcher,1,6,6.0
2024,621438,batter,3,0,0.0
2024,682626,batter,4,0,0.0
2024,643446,batter,4,0,0.0
2024,683146,batter,1,0,0.0
2024,493603,pitcher,0,2,2.0
2024,670097,batter,3,0,0.0
2024,670990,pitcher,0,1,1.0
2024,621466,batter,2,2,1.0
2024,624413,batter,4,0,0.0
